no,noNo,orgCommit,turnoverInt,orgValues,t.quit,t.looking,t.possibility,o.emotional,o.contnuous,o.specification
425,161,69,10,19,3,4,3,28,20,21
426,162,58,12,12,2,4,6,17,20,21
427,163,58,15,14,5,5,5,21,18,19
428,164,58,15,19,6,4,5,20,18,20
429,165,58,15,20,5,5,5,20,19,19
430,166,65,10,13,2,4,4,27,16,22
431,167,65,16,25,6,4,6,22,25,18
432,168,58,15,19,5,5,5,27,16,15
433,169,68,17,25,6,5,6,21,22,25
434,170,59,10,24,4,2,4,19,22,18
435,171,59,14,19,4,2,8,18,21,20
436,172,77,12,22,4,4,4,27,25,25
437,173,54,15,13,5,5,5,20,18,16
438,174,65,10,13,2,4,4,24,20,21
439,175,71,16,20,6,5,5,23,23,25
440,176,63,14,17,4,4,6,20,23,20
441,177,65,12,19,3,5,4,22,22,21
442,178,56,12,18,5,2,5,19,19,18
443,179,53,13,15,6,3,4,17,18,18
444,180,54,12,14,3,3,6,15,20,19
445,181,71,16,20,4,6,6,22,26,23
446,182,71,15,20,4,6,5,25,23,23
447,183,54,12,15,4,2,6,17,18,19
448,184,66,13,20,5,2,6,22,20,24
449,185,66,14,20,4,4,6,21,21,24
450,186,66,14,20,5,3,6,22,21,23
451,187,59,11,20,3,4,4,17,21,21
452,188,59,11,20,4,4,3,19,20,20
453,189,90,8,25,3,3,2,30,30,30
454,190,86,8,25,2,2,4,26,30,30
455,191,59,18,16,7,5,6,20,21,18
456,192,78,10,25,2,4,4,28,23,27
457,193,72,15,20,5,6,4,24,26,22
458,194,79,10,25,4,2,4,27,26,26
459,195,72,17,20,4,7,6,26,24,22
460,196,72,15,20,5,4,6,18,27,27
461,197,72,17,20,7,4,6,25,26,21
462,198,68,15,16,5,6,4,25,22,21
463,199,83,9,23,2,2,5,27,27,29
